index,Job Title,Salary Estimate,Location,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
96,Data Scientist,$64K-$107K ,"Miami, FL",85.5,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,na
97,Data Management Specialist,$31K-$65K ,"Huntsville, AL",48.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,na
99,E-Commerce Data Analyst,$34K-$62K ,"New Orleans, LA",48.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
101,Sr. Scientist II,$117K-$231K ,"San Francisco, CA",174.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
102,Insurance Data Scientist,$64K-$106K ,"Atlanta, GA",85.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,na
104,Data Modeler,$79K-$134K ,"Landover, MD",106.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
105,Data Analyst / Scientist,$52K-$93K ,"Patuxent River, MD",72.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
106,Scientist,$55K-$116K ,"Suitland, MD",85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
107,Data Scientist,$72K-$123K ,"McLean, VA",97.5,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,na
108,Data Scientist,$74K-$124K ,"Fort Belvoir, VA",99.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,na
109,Data Analyst,$40K-$73K ,"Milwaukee, WI",56.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
110,Lead Data Scientist,$102K-$164K ,"Silver Spring, MD",133.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
112,Data Scientist,$89K-$153K ,"New York, NY",121.0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,na
113,Data Scientist,$61K-$110K ,"Syracuse, NY",85.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,M
116,"Data Scientist, Rice University",$65K-$110K ,"Houston, TX",87.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,na
117,Senior Data Scientist,$200K-$275KEmployer est.,"Washington, DC",237.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
118,Data Engineer,$68K-$123K ,"Charlotte, NC",95.5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,M
119,Senior Data Scientist,$80K-$129K ,"Southfield, MI",104.5,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,M
120,Financial Data Analyst,$41K-$72K ,"Matawan, NJ",56.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,na
122,Senior Data Analyst,$39K-$71K ,"Phoenix, AZ",55.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,na
123,Research Scientist,$38K-$85K ,"Omaha, NE",61.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
124,Data Scientist,$121K-$193K ,"San Francisco, CA",157.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,na
125,Data Engineer,$54K-$102K ,"Lyndhurst, NJ",78.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na
126,Data Scientist,$83K-$144K ,"Cambridge, MA",113.5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,M
127,Data Scientist,$120K-$160K ,"New York, NY",140.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
128,Data Scientist,$102K-$163K ,"San Francisco, CA",132.5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,M
129,Data Engineer,$76K-$140K ,"San Francisco, CA",108.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,M
130,Ag Data Scientist,$60K-$101K ,"Atlanta, IN",80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
131,Data Scientist,$82K-$133K ,"Rockville, MD",107.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
132,Data Engineer,$65K-$125K ,"Minneapolis, MN",95.0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,na
136,Data Scientist II,$91K-$148K ,"Los Angeles, CA",119.5,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,M
137,Senior Data Engineer,$95K-$173K ,"Charlotte, NC",134.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,na
138,Data Scientist,$77K-$124K ,"Cambridge, MA",100.5,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,na
139,Data Scientist,$80K-$135K ,"Cincinnati, OH",107.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,M
140,Data Engineer,$85K-$159K ,"Washington, DC",122.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,na
141,Data Engineer,$80K-$105KEmployer est.,"Chicago, IL",92.5,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,na
142,Data Analyst,$43K-$81K ,"Baltimore, MD",62.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
143,Project Scientist,$29K-$50K ,"Alabaster, AL",39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
145,Data Scientist,$82K-$133K ,"Santa Fe Springs, Los Angeles, CA",107.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,M
146,Data Analytics Manager,$26K-$55K ,"Kansas City, MO",40.5,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,na
147,Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,$61K-$118K ,"Ashburn, VA",89.5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,M
148,Data Scientist,$60K-$102K ,"Chicago, IL",81.0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,na
150,Senior Data Scientist,$112K-$182K ,"Herndon, VA",147.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,na
152,Data Scientist,$64K-$106K ,"Fort Worth, TX",85.0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,na
153,Associate Scientist,$51K-$112K ,"Valencia, CA",81.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
