Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Epidemiologists,8180,41.70,86740,37.90,78830
"Medical Scientists, Except Epidemiologists",108550,50.02,104050,45.82,95310
Miscellaneous Life Scientists,6820,45.40,94430,39.18,81500
"Life Scientists, All Other",6820,45.40,94430,39.18,81500
Physical Scientists,244340,46.32,96340,39.47,82090
Astronomers and Physicists,21950,72.36,150510,70.89,147450
Astronomers,1930,67.02,139410,61.62,128160
Physicists,20020,72.88,151580,73.29,152430
Atmospheric and Space Scientists,8520,46.58,96880,45.47,94570
Chemists and Materials Scientists,87290,43.43,90330,38.34,79760
Chemists,80600,42.85,89130,38.19,79430
Materials Scientists,6690,50.38,104790,48.12,100090
Environmental Scientists and Geoscientists,106910,41.82,86980,37.66,78340
"Environmental Scientists and Specialists, Including Health",76890,39.06,81240,36.79,76530
"Geoscientists, Except Hydrologists and Geographers",23620,49.78,103550,40.23,83680
Hydrologists,6390,45.57,94780,40.40,84030
Miscellaneous Physical Scientists,19680,54.43,113220,50.05,104100
"Physical Scientists, All Other",19680,54.43,113220,50.05,104100
Social Scientists and Related Workers,246680,43.66,90810,38.89,80890
Economists,15640,58.09,120830,50.79,105630
Survey Researchers,8850,31.10,64690,28.72,59740
Psychologists,129620,44.28,92100,38.96,81040
Industrial-Organizational Psychologists,610,54.48,113320,50.63,105310
Clinical and Counseling Psychologists,58100,47.90,99640,39.67,82510
School Psychologists,57110,39.80,82770,37.88,78780
"Psychologists, All Other",13800,47.12,98010,49.47,102900
Sociologists,2640,46.28,96260,44.67,92910
Urban and Regional Planners,38940,39.09,81310,37.74,78500
Miscellaneous Social Scientists and Related Workers,50990,43.19,89840,39.61,82390
Anthropologists and Archeologists,6650,32.12,66800,29.76,61910
Geographers,1440,41.70,86740,40.97,85220
Historians,2910,34.68,72130,30.74,63940
Political Scientists,5650,57.90,120430,58.90,122510
"Social Scientists and Related Workers, All Other",34330,43.70,90900,40.59,84430
"Life, Physical, and Social Science Technicians",349540,25.91,53890,23.25,48370
Agricultural and Food Science Technicians,25090,22.23,46240,21.49,44700
Agricultural Technicians,13560,21.56,44850,19.44,40430
Food Science Technicians,11530,23.01,47870,22.40,46590
Biological Technicians,76150,24.89,51770,23.15,48140
Chemical Technicians,57690,26.46,55040,23.56,48990
Environmental Science and Geoscience Technicians,46860,25.88,53830,23.01,47850
"Environmental Science and Protection Technicians, Including Health",34110,24.30,50550,22.78,47370
"Geological Technicians, Except Hydrologic Technicians",9210,28.40,59080,23.23,48310
Hydrologic Technicians,3550,34.50,71760,29.94,62280
Nuclear Technicians,5360,45.77,95200,47.76,99340
Social Science Research Assistants,28690,27.13,56430,23.90,49720
Forest and Conservation Technicians,30440,20.87,43420,18.89,39290
"Miscellaneous Life, Physical, and Social Science Technicians",79250,27.83,57880,24.21,50370
Forensic Science Technicians,17020,32.14,66850,29.78,61930
"Life, Physical, and Social Science Technicians, All Other",62230,26.65,55420,23.57,49030
Occupational Health and Safety Specialists and Technicians,128090,36.13,75150,36.00,74870
Occupational Health and Safety Specialists,106340,37.86,78740,37.29,77560
Occupational Health and Safety Technicians,21750,27.67,57560,24.58,51120
Community and Social Service Occupations,2239680,25.94,53960,23.28,48410
"Counselors, Social Workers, and Other Community and Social Service Specialists",2157410,25.94,53950,23.27,48400
Counselors,781830,27.12,56410,23.73,49360
"Educational, Guidance, and Career Counselors and Advisors",296370,30.33,63090,29.09,60510
Marriage and Family Therapists,54800,28.69,59660,23.98,49880
Rehabilitation Counselors,90310,21.51,44740,18.54,38560
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",310880,25.72,53490,23.33,48520
"Counselors, All Other",29480,23.91,49730,21.71,45160
Social Workers,677440,27.83,57880,24.23,50390
"Child, Family, and School Social Workers",340050,26.39,54880,23.63,49150
Healthcare Social Workers,173860,29.96,62310,29.25,60840
Mental Health and Substance Abuse Social Workers,113810,27.79,57800,23.62,49130
"Social Workers, All Other",49730,30.29,63010,29.42,61190
Miscellaneous Community and Social Service Specialists,698130,22.78,47380,20.43,42490
Health Education Specialists,55830,31.22,64930,29.13,60600
Probation Officers and Correctional Treatment Specialists,92140,30.43,63290,28.97,60250
Social and Human Service Assistants,398380,19.45,40460,18.08,37610
Community Health Workers,61010,22.97,47780,22.40,46590
"Community and Social Service Specialists, All Other",90770,24.28,50510,22.78,47390
Religious Workers,82280,26.13,54340,23.35,48560
Clergy,50790,27.51,57230,23.90,49720
"Directors, Religious Activities and Education",21000,25.42,52880,22.59,46980
Miscellaneous Religious Workers,10490,20.81,43290,18.03,37500
"Religious Workers, All Other",10490,20.81,43290,18.03,37500
Legal Occupations,1178140,54.38,113100,39.63,82430
"Lawyers, Judges, and Related Workers",744760,69.46,144470,61.32,127540
Lawyers and Judicial Law Clerks,695810,70.30,146220,61.39,127690
Lawyers,681010,71.17,148030,61.54,127990
Judicial Law Clerks,14800,30.16,62730,24.40,50750
"Judges, Magistrates, and Other Judicial Workers",48950,57.54,119690,53.15,110550
"Administrative Law Judges, Adjudicators, and Hearing Officers",13840,50.08,104160,49.30,102550
"Arbitrators, Mediators, and Conciliators",7320,29.98,62350,23.76,49410
"Judges, Magistrate Judges, and Magistrates",27790,68.52,142520,71.17,148030
Legal Support Workers,433380,28.46,59190,26.38,54860
Paralegals and Legal Assistants,336250,28.04,58330,27.03,56230
Miscellaneous Legal Support Workers,97130,29.89,62170,24.78,51550
"Title Examiners, Abstractors, and Searchers",51040,25.19,52390,22.74,47310
"Legal Support Workers, All Other",46090,35.10,73000,28.75,59790
Educational Instruction and Library Occupations,8191930,29.88,62140,27.51,57220
"Career/Technical Education Teachers, Postsecondary",105440,30.35,63130,28.77,59840
Preschool and Kindergarten Teachers,512400,20.70,43060,17.65,36710
"Preschool Teachers, Except Special Education",391670,17.53,36460,14.52,30210
Other Teachers and Instructors,941530,22.35,46490,17.94,37310
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",38260,29.16,60650,28.71,59720
Self-Enrichment Teachers,216910,23.67,49230,20.95,43580
"Substitute Teachers, Short-Term",374620,18.47,38410,14.47,30100
Tutors,147100,20.09,41780,17.53,36470
"Librarians, Curators, and Archivists",228900,26.69,55520,23.59,49060
"Archivists, Curators, and Museum Technicians",28110,28.28,58830,24.09,50120
Archivists,6120,29.75,61880,28.87,60050
Curators,11030,30.71,63880,28.90,60110
Museum Technicians and Conservators,10960,25.02,52030,22.90,47630
Librarians and Media Collections Specialists,127790,30.86,64180,29.42,61190
Library Technicians,73000,18.79,39070,17.78,36970
Farm and Home Management Educators,10620,27.90,58040,24.03,49990
Instructional Coordinators,184740,33.92,70560,30.64,63740
Miscellaneous Educational Instruction and Library Workers,155950,23.87,49650,22.26,46300
"Educational Instruction and Library Workers, All Other",155950,23.87,49650,22.26,46300
"Arts, Design, Entertainment, Sports, and Media Occupations",1815290,31.78,66100,24.61,51190
Art and Design Workers,609150,28.32,58910,23.18,48220
Artists and Related Workers,83070,45.83,95330,38.94,80990
Art Directors,42080,55.50,115430,48.51,100890
Craft Artists,3740,19.58,40730,17.27,35930
"Fine Artists, Including Painters, Sculptors, and Illustrators",9430,33.18,69010,29.24,60820
Special Effects Artists and Animators,20430,41.45,86220,37.88,78790
"Artists and Related Workers, All Other",7390,32.33,67240,29.61,61580
Designers,526080,25.56,53160,22.29,46370
Commercial and Industrial Designers,27940,38.31,79680,37.03,77030
Fashion Designers,19310,40.22,83650,37.24,77450
Floral Designers,36000,15.43,32100,14.36,29880
Graphic Designers,204040,28.83,59970,24.38,50710
Interior Designers,61970,30.08,62570,29.01,60340
Merchandise Displayers and Window Trimmers,159790,17.08,35520,15.41,32060
Set and Exhibit Designers,6850,30.27,62960,26.37,54860
"Designers, All Other",10190,35.33,73480,29.96,62310
"Entertainers and Performers, Sports and Related Workers",438600,34.55,71870,23.78,49470
"Actors, Producers, and Directors",168350,45.85,95360,37.06,77080
Producers and Directors,138250,49.01,101950,37.98,79000
Dancers and Choreographers,7850,24.17,50280,19.47,40500
Choreographers,3990,23.86,49630,20.53,42700
Music Directors and Composers,9560,31.29,65080,23.62,49130
Media and Communication Workers,573200,34.50,71760,29.97,62340
Broadcast Announcers and Radio Disc Jockeys,24580,26.97,56110,18.09,37630
"News Analysts, Reporters and Journalists",39080,30.40,63230,23.26,48370
"News Analysts, Reporters, and Journalists",39080,30.40,63230,23.26,48370
Public Relations Specialists,242710,35.22,73250,30.19,62800
Writers and Editors,185810,37.96,78950,34.44,71640
Editors,88780,36.73,76400,30.46,63350
Technical Writers,47620,39.17,81470,37.53,78060
Writers and Authors,49410,39.00,81120,33.42,69510
Miscellaneous Media and Communication Workers,81010,28.68,59650,24.03,49980
Interpreters and Translators,52170,28.08,58400,23.61,49110
Court Reporters and Simultaneous Captioners,12300,31.36,65240,29.03,60380
"Media and Communication Workers, All Other",16540,28.56,59400,23.99,49900
Media and Communication Equipment Workers,194350,28.35,58970,23.52,48920
"Broadcast, Sound, and Lighting Technicians",90940,26.80,55750,23.46,48790
Audio and Video Technicians,50590,26.59,55310,23.47,48820
Broadcast Technicians,25270,24.66,51280,21.51,44740
Sound Engineering Technicians,10800,32.38,67360,29.09,60500
Lighting Technicians,4280,27.89,58020,24.75,51470
Photographers,38420,23.18,48210,18.73,38950
"Television, Video, and Film Camera Operators and Editors",48320,33.66,70020,29.02,60360
"Camera Operators, Television, Video, and Film",20280,29.69,61740,23.67,49230
Film and Video Editors,28030,36.54,76000,30.13,62680
Miscellaneous Media and Communication Equipment Workers,16670,33.31,69290,30.41,63250
"Media and Communication Equipment Workers, All Other",16670,33.31,69290,30.41,63250
Healthcare Practitioners and Technical Occupations,8787730,43.80,91100,36.08,75040
Healthcare Diagnosing or Treating Practitioners,5772460,53.92,112160,39.07,81270
Chiropractors,35810,39.06,81240,36.06,75000
Dentists,124680,85.47,177770,78.47,163220
"Dentists, General",108680,80.37,167160,77.10,160370
Prosthodontists,790,69.10,143730,48.54,100950
"Dentists, All Other Specialists",4750,86.25,179400,84.21,175160
Dietitians and Nutritionists,66690,31.55,65620,29.64,61650
Optometrists,38720,60.31,125440,59.76,124300
Pharmacists,312550,60.43,125690,61.81,128570
Physician Assistants,132940,57.43,119460,58.43,121530
Podiatrists,8840,76.15,158380,70.11,145840
Therapists,687440,40.42,84080,37.82,78670
Occupational Therapists,127830,43.02,89470,41.14,85570
Physical Therapists,225350,44.67,92920,45.97,95620
Radiation Therapists,16050,45.19,94000,39.80,82790
Recreational Therapists,16980,25.91,53900,23.05,47940
Respiratory Therapists,133410,32.78,68190,29.73,61830
Speech-Language Pathologists,147470,41.26,85820,38.01,79060
Exercise Physiologists,6860,25.98,54030,23.05,47940
"Therapists, All Other",13490,31.26,65030,28.61,59500
Veterinarians,77260,52.84,109920,48.26,100370
Registered Nurses,3047530,39.78,82750,37.31,77600
Nurse Anesthetists,43950,97.34,202470,94.04,195610
Nurse Midwives,7750,54.91,114210,54.24,112830
Nurse Practitioners,234690,56.75,118040,58.02,120680
Audiologists,13240,41.37,86050,37.96,78950
"Pediatricians, General",33620,95.40,198420,81.96,170480
Miscellaneous Healthcare Diagnosing or Treating Practitioners,240690,40.65,84550,37.45,77900
Acupuncturists,7250,34.51,71770,29.12,60570
Dental Hygienists,207190,39.12,81360,37.41,77810
"Healthcare Diagnosing or Treating Practitioners, All Other",26250,54.44,113230,48.22,100300
Health Technologists and Technicians,2887210,24.18,50300,22.55,46910
Clinical Laboratory Technologists and Technicians,318780,27.36,56910,27.79,57800
Diagnostic Related Technologists and Technicians,408390,34.03,70780,32.26,67100
Cardiovascular Technologists and Technicians,55760,29.82,62020,29.12,60570
Diagnostic Medical Sonographers,78640,38.79,80680,37.38,77740
Nuclear Medicine Technologists,17140,40.79,84850,37.86,78760
Radiologic Technologists and Technicians,216380,31.97,66490,29.50,61370
Magnetic Resonance Imaging Technologists,38070,37.41,77820,37.19,77360
Medical Dosimetrists,2400,59.98,124750,61.19,127270
Emergency Medical Technicians and Paramedics,257910,19.94,41480,17.76,36930
Emergency Medical Technicians,161400,17.64,36690,17.05,35470
Paramedics,96510,23.80,49500,22.48,46770
Health Practitioner Support Technologists and Technicians,845080,19.31,40170,17.78,36980
Dietetic Technicians,21610,16.42,34160,14.19,29520
Pharmacy Technicians,436630,18.25,37970,17.66,36740
Psychiatric Technicians,93410,18.27,38000,17.58,36570
Surgical Technologists,109060,25.77,53590,23.33,48530
Veterinary Technologists and Technicians,118670,18.39,38250,17.72,36850
Ophthalmic Medical Technicians,65700,19.77,41120,17.87,37180
Licensed Practical and Licensed Vocational Nurses,641240,24.93,51850,23.11,48070
Medical Records Specialists,180570,23.23,48310,22.43,46660
"Opticians, Dispensing",73270,20.70,43060,18.06,37570
Miscellaneous Health Technologists and Technicians,161980,24.96,51910,22.42,46640
Orthotists and Prosthetists,10410,38.38,79820,36.27,75440
Hearing Aid Specialists,10790,28.83,59960,28.61,59500
"Health Technologists and Technicians, All Other",140770,23.67,49230,21.98,45720
Other Healthcare Practitioners and Technical Occupations,128060,29.55,61470,26.19,54480
Health Information Technologists and Medical Registrars,37900,29.53,61410,26.71,55560
Miscellaneous Health Practitioners and Technical Workers,90160,29.56,61490,25.97,54010
Genetic Counselors,2740,41.65,86640,38.54,80150
Surgical Assistants,17250,28.45,59170,23.23,48320
"Healthcare Practitioners and Technical Workers, All Other",44100,31.19,64880,28.25,58750
Healthcare Support Occupations,6603680,16.02,33330,14.37,29880
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",4765620,14.64,30440,14.24,29620
Home Health and Personal Care Aides,3366480,14.07,29260,14.15,29430
"Nursing Assistants, Orderlies, and Psychiatric Aides",1399130,16.01,33290,14.56,30290
Nursing Assistants,1314830,15.99,33250,14.57,30310
Orderlies,45160,16.08,33440,14.42,29990
Psychiatric Aides,39140,16.65,34640,14.55,30260
Occupational Therapy and Physical Therapist Assistants and Aides,181410,25.91,53900,27.87,57980
Occupational Therapy Assistants and Aides,45350,29.69,61760,29.58,61520
Occupational Therapy Assistants,41980,30.56,63560,29.68,61730
Occupational Therapy Aides,3370,18.86,39230,16.14,33560
Physical Therapist Assistants and Aides,136050,24.65,51280,23.64,49180
Physical Therapist Assistants,93660,29.20,60740,29.42,61180
Physical Therapist Aides,42390,14.60,30370,14.04,29200
Other Healthcare Support Occupations,1656660,18.93,39360,17.97,37370
Massage Therapists,81030,23.68,49260,22.55,46910
Miscellaneous Healthcare Support Occupations,1575620,18.68,38860,17.94,37310
Dental Assistants,347170,20.44,42510,18.59,38660
Medical Assistants,727760,18.36,38190,17.88,37190
Medical Equipment Preparers,61170,20.40,42420,18.37,38220
Medical Transcriptionists,55830,16.45,34220,14.47,30100
Pharmacy Aides,43560,16.61,34560,14.39,29930
Veterinary Assistants and Laboratory Animal Caretakers,98970,15.28,31780,14.32,29780
Phlebotomists,132750,18.49,38450,17.97,37380
"Healthcare Support Workers, All Other",108410,19.56,40690,18.14,37740
Protective Service Occupations,3385030,25.68,53420,22.40,46590
Supervisors of Protective Service Workers,342810,38.95,81010,37.16,77290
First-Line Supervisors of Law Enforcement Workers,182700,43.32,90110,39.15,81430
First-Line Supervisors of Correctional Officers,54470,33.53,69750,29.91,62220
First-Line Supervisors of Police and Detectives,128230,47.48,98760,47.76,99330
First-Line Supervisors of Firefighting and Prevention Workers,80890,40.03,83270,37.61,78230
"Miscellaneous First-Line Supervisors, Protective Service Workers",79230,27.75,57730,25.23,52480
First-Line Supervisors of Security Workers,55450,26.48,55080,24.15,50240
"First-Line Supervisors of Protective Service Workers, All Other",23780,30.73,63910,29.33,61010
Firefighting and Prevention Workers,334670,26.88,55910,24.49,50930
Firefighters,317310,26.58,55290,24.38,50700
Fire Inspectors,17370,32.32,67230,30.33,63080
Fire Inspectors and Investigators,14600,33.50,69680,31.06,64600
Forest Fire Inspectors and Prevention Specialists,2770,26.12,54340,20.48,42600
Law Enforcement Workers,1200060,31.91,66370,29.42,61190
"Bailiffs, Correctional Officers, and Jailers",409020,25.66,53380,23.04,47920
Bailiffs,16420,25.16,52340,23.23,48320
Correctional Officers and Jailers,392600,25.69,53420,23.04,47920
Detectives and Criminal Investigators,107890,43.45,90370,40.21,83640
Fish and Game Wardens,6730,27.98,58190,29.20,60730
Parking Enforcement Workers,7450,22.14,46050,22.40,46590
Police Officers,668970,34.01,70740,31.06,64610
Police and Sheriff's Patrol Officers,665380,34.02,70750,31.06,64610
Transit and Railroad Police,3590,33.45,69570,31.21,64930
Other Protective Service Workers,1507480,17.44,36280,15.17,31550
Animal Control Workers,11600,20.49,42620,18.83,39160
Private Detectives and Investigators,28860,29.31,60970,28.55,59380
Security Guards and Gambling Surveillance Officers,1066280,17.24,35860,15.13,31470
