Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Foundry Mold and Coremakers,13610,19.22,39980,18.13,37710
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",163210,18.04,37530,17.48,36370
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",134880,19.63,40830,18.09,37630
Tool and Die Makers,63630,26.99,56150,27.41,57000
"Welding, Soldering, and Brazing Workers",427580,23.04,47910,22.55,46910
"Welders, Cutters, Solderers, and Brazers",397600,23.21,48290,22.60,47010
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",29980,20.65,42950,18.55,38580
Miscellaneous Metal Workers and Plastic Workers,78530,19.68,40940,18.09,37630
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",14540,19.98,41560,18.49,38450
"Layout Workers, Metal and Plastic",6840,25.16,52340,24.85,51690
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",32310,18.55,38580,17.89,37200
"Tool Grinders, Filers, and Sharpeners",6100,20.99,43660,18.48,38430
"Metal Workers and Plastic Workers, All Other",18740,18.98,39480,17.78,36990
Printing Workers,211930,19.55,40660,18.13,37710
Prepress Technicians and Workers,25840,21.06,43800,20.49,42610
Printing Press Operators,145290,19.77,41120,18.16,37770
Print Binding and Finishing Workers,40810,17.82,37060,17.59,36590
"Textile, Apparel, and Furnishings Workers",445950,15.00,31210,14.14,29420
Laundry and Dry-Cleaning Workers,157400,13.38,27830,13.63,28350
"Pressers, Textile, Garment, and Related Materials",26910,13.52,28110,13.79,28680
Sewing Machine Operators,116220,14.85,30880,14.27,29690
Shoe and Leather Workers,9240,15.84,32950,14.31,29760
Shoe and Leather Workers and Repairers,5620,16.77,34890,15.12,31450
Shoe Machine Operators and Tenders,3610,14.38,29920,13.73,28560
"Tailors, Dressmakers, and Sewers",21450,16.65,34630,14.99,31180
"Sewers, Hand",4170,15.07,31350,14.39,29930
"Tailors, Dressmakers, and Custom Sewers",17270,17.03,35430,15.11,31420
"Textile Machine Setters, Operators, and Tenders",56700,15.92,33110,14.45,30050
Textile Bleaching and Dyeing Machine Operators and Tenders,6240,15.36,31940,14.39,29930
"Textile Cutting Machine Setters, Operators, and Tenders",11970,15.91,33100,14.41,29960
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",16330,16.17,33640,16.34,33990
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",22160,15.89,33050,14.44,30020
"Miscellaneous Textile, Apparel, and Furnishings Workers",58030,18.77,39050,17.80,37030
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",14040,19.52,40600,18.05,37550
Fabric and Apparel Patternmakers,3220,30.81,64070,28.20,58650
Upholsterers,28020,18.38,38220,17.99,37420
"Textile, Apparel, and Furnishings Workers, All Other",12750,15.79,32840,14.31,29750
Woodworkers,230400,18.04,37520,17.64,36680
Cabinetmakers and Bench Carpenters,93070,19.27,40070,18.05,37540
Furniture Finishers,16300,17.94,37310,17.59,36580
"Model Makers and Patternmakers, Wood",550,27.19,56560,27.60,57410
"Model Makers, Wood",340,28.87,60040,29.22,60780
"Patternmakers, Wood",210,24.53,51020,22.56,46920
"Woodworking Machine Setters, Operators, and Tenders",112560,17.04,35450,17.23,35850
"Sawing Machine Setters, Operators, and Tenders, Wood",45350,16.96,35280,16.99,35340
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",67210,17.10,35560,17.35,36090
Miscellaneous Woodworkers,7910,17.35,36080,17.12,35610
"Woodworkers, All Other",7910,17.35,36080,17.12,35610
Plant and System Operators,280900,31.83,66210,29.49,61350
"Power Plant Operators, Distributors, and Dispatchers",43440,42.99,89410,45.57,94790
Nuclear Power Reactor Operators,4820,53.47,111220,50.13,104260
Power Distributors and Dispatchers,9660,45.92,95520,47.37,98530
Power Plant Operators,28960,40.26,83740,38.87,80850
Stationary Engineers and Boiler Operators,29820,33.90,70510,30.53,63500
Water and Wastewater Treatment Plant and System Operators,121150,25.15,52320,23.02,47880
Miscellaneous Plant and System Operators,86500,34.88,72540,36.86,76670
Chemical Plant and System Operators,21740,33.18,69020,33.75,70200
Gas Plant Operators,15110,37.01,76970,37.43,77850
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",34230,38.70,80500,38.24,79540
"Plant and System Operators, All Other",15420,26.67,55480,24.16,50250
Other Production Occupations,2409900,20.11,41820,18.13,37710
"Chemical Processing Machine Setters, Operators, and Tenders",154790,24.40,50760,22.88,47580
Chemical Equipment Operators and Tenders,106170,25.22,52450,23.12,48090
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",48620,22.62,47060,22.13,46030
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",155920,20.14,41900,18.35,38160
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",31800,20.57,42790,18.63,38760
"Grinding and Polishing Workers, Hand",15680,17.30,35990,17.15,35670
"Mixing and Blending Machine Setters, Operators, and Tenders",108440,20.43,42490,18.47,38420
Cutting Workers,63850,18.90,39300,18.10,37660
"Cutters and Trimmers, Hand",7920,16.51,34330,14.54,30230
"Cutting and Slicing Machine Setters, Operators, and Tenders",55930,19.23,40010,18.18,37810
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",56570,19.25,40050,18.10,37660
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",14180,21.11,43910,21.01,43710
"Inspectors, Testers, Sorters, Samplers, and Weighers",551380,21.54,44810,18.55,38580
Jewelers and Precious Stone and Metal Workers,24350,22.64,47090,22.42,46640
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,68380,21.52,44770,18.79,39090
Dental Laboratory Technicians,34150,22.75,47320,22.00,45770
Medical Appliance Technicians,15300,22.27,46320,21.77,45280
Ophthalmic Laboratory Technicians,18930,18.71,38910,17.92,37270
Packaging and Filling Machine Operators and Tenders,358640,17.67,36750,17.29,35960
Painting Workers,157250,20.90,43480,18.59,38670
"Painting, Coating, and Decorating Workers",11850,18.39,38250,17.95,37330
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",145410,21.11,43900,18.81,39130
Semiconductor Processing Technicians,24020,22.07,45910,19.17,39870
Photographic Process Workers and Processing Machine Operators,5740,19.37,40300,17.59,36590
Computer Numerically Controlled Tool Operators and Programmers,183630,23.32,48500,22.78,47380
Computer Numerically Controlled Tool Operators,157840,22.23,46240,22.42,46640
Computer Numerically Controlled Tool Programmers,25800,29.98,62360,29.22,60780
Miscellaneous Production Workers,591200,17.75,36920,17.23,35840
Adhesive Bonding Machine Operators and Tenders,12510,18.55,38580,18.09,37630
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",13580,17.22,35820,16.87,35090
Cooling and Freezing Equipment Operators and Tenders,7500,20.63,42910,19.42,40390
Etchers and Engravers,7110,17.77,36970,17.59,36590
"Molders, Shapers, and Casters, Except Metal and Plastic",38420,18.76,39020,18.03,37500
"Paper Goods Machine Setters, Operators, and Tenders",87480,21.24,44180,21.55,44820
Tire Builders,17240,23.00,47840,23.05,47940
Helpers--Production Workers,202860,15.82,32910,14.42,30000
"Production Workers, All Other",204500,17.42,36230,15.83,32930
Transportation and Material Moving Occupations,12639920,19.88,41340,17.72,36860
Supervisors of Transportation and Material Moving Workers,557850,28.19,58630,26.36,54830
First-Line Supervisors of Transportation and Material Moving Workers,557850,28.19,58630,26.36,54830
Aircraft Cargo Handling Supervisors,8590,29.84,62080,25.74,53540
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",549260,28.16,58580,26.37,54850
Air Traffic Controllers and Airfield Operations Specialists,33830,48.32,100510,43.56,90600
Air Traffic Controllers,21230,61.50,127920,62.38,129750
Airfield Operations Specialists,12610,26.13,54360,23.02,47880
Motor Vehicle Operators,4147650,21.31,44330,20.52,42670
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",11710,14.93,31060,14.00,29120
Driver/Sales Workers and Truck Drivers,3390490,21.85,45460,21.91,45580
Driver/Sales Workers,477020,15.37,31970,14.08,29280
Heavy and Tractor-Trailer Truck Drivers,1903420,24.20,50340,23.23,48310
Light Truck Drivers,1010040,20.50,42630,18.40,38280
Passenger Vehicle Drivers,696760,19.06,39640,18.05,37540
"Bus Drivers, School",361420,18.63,38750,18.23,37910
"Bus Drivers, Transit and Intercity",145720,24.67,51310,23.37,48620
Shuttle Drivers and Chauffeurs,175660,15.66,32570,14.42,30000
Taxi Drivers,13950,14.45,30050,14.09,29310
Miscellaneous Motor Vehicle Operators,48690,17.51,36410,14.71,30600
"Motor Vehicle Operators, All Other",48690,17.51,36410,14.71,30600
Rail Transportation Workers,119120,32.85,68330,30.85,64170
Locomotive Engineers and Operators,43440,34.33,71410,37.83,78680
Locomotive Engineers,38980,35.07,72940,38.34,79740
"Rail Yard Engineers, Dinkey Operators, and Hostlers",4460,27.92,58070,29.37,61090
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",16200,30.31,63050,30.69,63840
Railroad Conductors and Yardmasters,48030,32.21,66990,30.75,63960
Subway and Streetcar Operators,10310,34.38,71520,39.03,81180
Miscellaneous Rail Transportation Workers,1140,26.03,54140,22.88,47590
"Rail Transportation Workers, All Other",1140,26.03,54140,22.88,47590
Water Transportation Workers,70480,38.84,80780,30.17,62760
Sailors and Marine Oilers,26610,27.79,57800,22.46,46720
Ship and Boat Captains and Operators,36220,45.31,94250,38.47,80010
"Captains, Mates, and Pilots of Water Vessels",33490,47.27,98330,39.25,81640
Motorboat Operators,2740,21.35,44410,18.59,38670
Ship Engineers,7650,46.59,96910,39.62,82410
Other Transportation Workers,286680,17.26,35900,14.39,29940
Bridge and Lock Tenders,4040,21.52,44760,21.82,45390
Parking Attendants,91160,14.04,29210,14.06,29240
Transportation Service Attendants,123660,14.81,30810,14.22,29570
Automotive and Watercraft Service Attendants,111480,14.40,29960,14.10,29330
Aircraft Service Attendants,12170,18.58,38640,17.50,36390
Traffic Technicians,7770,25.58,53210,23.37,48610
Transportation Inspectors,25070,37.32,77620,38.35,79770
Passenger Attendants,21240,16.53,34380,14.65,30470
Miscellaneous Transportation Workers,13750,19.23,39990,17.73,36880
"Transportation Workers, All Other",13750,19.23,39990,17.73,36880
Material Moving Workers,7203320,16.78,34900,14.91,31010
Conveyor Operators and Tenders,28650,17.80,37010,17.51,36420
Crane and Tower Operators,43400,31.38,65270,29.92,62240
Dredge Operators,1650,24.29,50530,22.22,46210
Hoist and Winch Operators,2610,28.10,58450,25.14,52300
Industrial Truck and Tractor Operators,758290,19.69,40950,18.45,38380
Laborers and Material Movers,6178560,16.14,33570,14.58,30320
Cleaners of Vehicles and Equipment,351960,14.69,30550,14.08,29280
"Laborers and Freight, Stock, and Material Movers, Hand",2729010,16.80,34950,15.02,31230
Machine Feeders and Offbearers,60880,17.63,36660,17.79,37010
"Packers and Packagers, Hand",585270,14.88,30950,14.39,29940
Stockers and Order Fillers,2451430,15.87,33020,14.48,30110
Pumping Station Operators,29550,30.09,62590,29.85,62090
Gas Compressor and Gas Pumping Station Operators,2910,32.27,67130,34.00,70720
"Pump Operators, Except Wellhead Pumpers",10600,26.15,54400,23.84,49580
Wellhead Pumpers,16040,32.29,67170,30.64,63740
Refuse and Recyclable Material Collectors,126050,20.57,42780,18.51,38500
"Tank Car, Truck, and Ship Loaders",12090,26.60,55330,23.75,49390
Miscellaneous Material Moving Workers,22470,19.32,40190,17.38,36150
"Material Moving Workers, All Other",22470,19.32,40190,17.38,36150
