Job Title,Salary Estimate,Avg Salary(K),City,State,Python,spark,aws,excel,sql,sas,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
Data Scientist in Artificial Intelligence Early Career,$49K-$85K ,67.0,Richland, WA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,M
Data Scientist,$61K-$109K ,85.0,Coraopolis, PA,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,M
Data Scientist,$88K-$148K ,118.0,Framingham, MA,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist,$60K-$99K ,79.5,Atlanta, GA,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,na
Data Scientist - Research,$41K-$72K ,56.5,Boston, MA,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$96K-$161K ,128.5,Philadelphia, PA,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,na
R&D Data Analysis Scientist,$65K-$130K ,97.5,Vancouver, WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Analytics Consultant,$52K-$81K ,66.5,Indianapolis, IN,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na
"Director, Data Science",$139K-$220K ,179.5,Lake Forest, IL,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,M
Scientist,$50K-$102K ,76.0,Maryland Heights, MO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist SR,$85K-$139K ,112.0,Charlottesville, VA,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,M
Data Scientist,$74K-$122K ,98.0,Pittsburgh, PA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,M
R&D Sr Data Scientist,$99K-$157K ,128.0,Vancouver, WA,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,M
Customer Data Scientist/Sales Engineer (Bay,$79K-$222K ,150.5,Mountain View, CA,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,P
Research Scientist,$57K-$118K ,87.5,Cambridge, MA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$83K-$137K ,110.0,Chantilly, VA,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,na
Data Scientist,$86K-$141K ,113.5,San Jose, CA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$94K-$154K ,124.0,San Francisco, CA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
