Job Title,Salary Estimate,Location,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
Data Engineer,$65K-$125K ,"Minneapolis, MN",95.0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,na
Data Scientist II,$91K-$148K ,"Los Angeles, CA",119.5,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,M
Senior Data Engineer,$95K-$173K ,"Charlotte, NC",134.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$77K-$124K ,"Cambridge, MA",100.5,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,na
Data Scientist,$80K-$135K ,"Cincinnati, OH",107.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,M
Data Engineer,$85K-$159K ,"Washington, DC",122.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,na
Data Engineer,$80K-$105KEmployer est.,"Chicago, IL",92.5,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,na
Data Analyst,$43K-$81K ,"Baltimore, MD",62.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
Project Scientist,$29K-$50K ,"Alabaster, AL",39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$82K-$133K ,"Santa Fe Springs, Los Angeles, CA",107.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,M
Data Analytics Manager,$26K-$55K ,"Kansas City, MO",40.5,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,na
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,$61K-$118K ,"Ashburn, VA",89.5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,M
Data Scientist,$60K-$102K ,"Chicago, IL",81.0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,na
Senior Data Scientist,$112K-$182K ,"Herndon, VA",147.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,na
Data Scientist,$64K-$106K ,"Fort Worth, TX",85.0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,na
Associate Scientist,$51K-$112K ,"Valencia, CA",81.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
"Scientist 2, QC Viral Vector",$113K-$223K ,"Novato, CA",168.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
Machine Learning Engineer,$72K-$129K ,"Aurora, CO",100.5,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,na
Data Scientist/ML Engineer,$71K-$123K ,"New York, NY",97.0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,M
Data Scientist,$64K-$106K ,"Chantilly, VA",85.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,na
Customer Data Scientist,$118K-$189K ,"Mountain View, CA",153.5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,M
Data Engineer,Employer Provided Salary:$120K-$145K,"Tampa, FL",132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Engineer,$80K-$120K ,"Chicago, IL",100.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
Sr. Data Scientist,$80K-$130K ,"Denver, CO",105.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,M
Data Engineer 4 - Contract,$59K-$115K ,"Riverton, UT",87.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Analyst - Asset Management,$71K-$136K ,"San Francisco, CA",103.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
Senior Research Scientist - Embedded System Development for DevOps,$81K-$167K ,"Pittsburgh, PA",124.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist - Bioinformatics,$49K-$85K ,"Richland, WA",67.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Engineer,$60K-$114K ,"Washington, DC",87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Customer Data Scientist/Sales Engineer,$71K-$204K ,"Chicago, IL",137.5,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,P
Lead Data Scientist,$75K-$125K ,"Cincinnati, OH",100.0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,M
MongoDB Data Engineer II,$77K-$136K ,"Chattanooga, TN",106.5,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,na
Senior Data Scientist Statistics,$74K-$123K ,"Richland, WA",98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
Senior Data Analyst,$44K-$78K ,"Clearwater, FL",61.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,M
Senior Spark Engineer (Data Science),$65K-$148K ,"Indianapolis, IN",106.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,na
